t,v
75.7,6.892907121423669
75.8,6.881810469644499
75.90000000000001,6.869583014619404
76,6.856113646415379
76.10000000000001,6.841281230049432
76.2,6.824953895032714
76.3,6.806988318439068
76.40000000000001,6.787229013359237
76.5,6.765507637817977
76.60000000000001,6.741642342979659
76.7,6.715437183780532
76.80000000000001,6.686681620016973
76.90000000000001,6.655150141377075
77,6.620602055876658
77.10000000000001,6.582781487548997
77.2,6.541417635868849
77.30000000000001,6.496225356009018
77.40000000000001,6.446906125268677
77.5,6.393149466387189
77.60000000000001,6.334634902335595
77.7,6.271034518776128
77.80000000000001,6.202016208763717
77.90000000000001,6.127247668364427
78,6.046401200521468
78.10000000000001,5.959159366530802
78.2,5.865221498802483
78.30000000000001,5.764311054333206
78.40000000000001,5.656183745086269
78.5,5.540636329513073
78.60000000000001,5.417515889906664
78.7,5.286729355425163
78.80000000000001,5.148252964028464
78.90000000000001,5.002141293142697
79,4.848535434727432
79.10000000000001,4.687669852573199
79.2,4.519877445370015
79.30000000000001,4.34559235506391
79.40000000000001,4.16535011136211
79.5,3.979784792379295
79.60000000000001,3.789623007127202
79.7,3.595674662349421
79.80000000000001,3.398820654248212
79.90000000000001,3.199997811302568
80,3.00018159147481
80.10000000000001,2.800367188827198
80.2,2.601549815599062
80.30000000000001,2.404704984465172
80.40000000000001,2.210769615698852
80.5,2.020624735295206
80.60000000000001,1.835080419085027
80.7,1.654863486150075
80.80000000000001,1.480608267754712
80.90000000000001,1.312850592362477
81,1.152024949263906
81.10000000000001,0.9984646365473651
81.2,0.8524045734400943
81.30000000000001,0.7139863679186246
81.40000000000001,0.5832651791511922
81.5,0.4602178983630718
81.60000000000001,0.3447521860095279
81.7,0.2367159409956319
81.80000000000001,0.1359068318282965
81.90000000000001,0.04208158302409356
82,-0.04503522330119245
82.10000000000001,-0.1257430058725979
82.2,-0.2003578183825757
82.30000000000001,-0.2692058229881953
82.40000000000001,-0.3326176236203054
82.5,-0.3909234452823577
82.60000000000001,-0.444449119815491
82.7,-0.4935128206214981
82.80000000000001,-0.5384224774737074
82.90000000000001,-0.5794737966270669
83,-0.6169488098018638
83.10000000000001,-0.6511148771909714
83.2,-0.6822240734944435
83.30000000000001,-0.7105128913338041
83.40000000000001,-0.7362022026106798
83.5,-0.7594974249622005
83.60000000000001,-0.7805888470643756
83.7,-0.7996520728886742
83.80000000000001,-0.8168485509547566
83.90000000000001,-0.8323261600422739
84,-0.8462198276767274
84.10000000000001,-0.8586521619764271
84.2,-0.8697340811549803
84.30000000000001,-0.8795654281490276
84.40000000000001,-0.8882355605280599
84.5,-0.8958239080916681
84.60000000000001,-0.902400492420999
84.7,-0.9080264041769862
84.80000000000001,-0.9127542351769166
84.90000000000001,-0.9166284632794055
85,-0.9196857889085797
85.10000000000001,-0.9219554226901961
85.2,-0.9234593241917541
85.30000000000001,-0.9242123921881497
85.40000000000001,-0.9242226072448487
85.5,-0.9234911277504537
85.60000000000001,-0.9220123408674097
85.7,-0.9197738702300279
85.80000000000001,-0.9167565426292335
85.90000000000001,-0.9129343164101403
86,-0.908274174898548
86.10000000000001,-0.9027359888934705
