time,u,tank1,tank2
99.10000000000001,3.0,12.799805189936235,14.596857419743733
99.2,3.0,12.726025607136517,14.391111921708056
99.30000000000001,3.0,12.621910311331604,14.477547848660857
99.4,3.0,12.516099357636566,14.490519933635765
99.5,3.0,12.419242816797713,14.3707392569468
99.60000000000001,3.0,12.344885975636537,14.460387124868983
99.7,3.0,12.250140979949721,14.541648312997077
99.80000000000001,3.0,12.13822950045815,14.389751820126383
99.9,3.0,12.067859299407266,14.524966877274954
100.0,3.0,11.965011813900915,14.345208837149316
100.10000000000001,3.0,11.869257266257856,14.268779179804861
100.2,3.0,11.795310211511193,14.297867855232044
100.30000000000001,3.0,11.691132639705907,14.299099790605718
100.4,3.0,11.614053405120027,14.309142856233368
100.5,3.0,11.527881021135837,14.293707545539629
100.60000000000001,3.0,11.428742306007297,14.30713769977663
100.7,3.0,11.363121776126588,14.235452155432604
100.80000000000001,3.0,11.271625459006382,14.295059850401405
100.9,3.0,11.199261866866207,14.30764056691116
101.0,3.0,11.105258079358059,14.197299315226354
101.10000000000001,3.0,11.012792143030913,14.117928058976734
101.2,3.0,10.93048302996831,13.982978570397735
101.30000000000001,3.0,10.871120744071916,14.047815856589454
101.4,3.0,10.781951613156934,14.10068108123738
101.5,3.0,10.710453406841816,14.139509424495902
101.60000000000001,3.0,10.626356380104042,14.029343637821947
101.7,3.0,10.537574364867385,13.959622588874096
101.80000000000001,3.0,10.466220111116069,14.019960799718858
101.9,3.0,10.391761573483675,14.147832673423686
102.0,3.0,10.316148679031182,14.013268797300118
102.10000000000001,3.0,10.240106526263675,13.944060050980301
102.2,3.0,10.163904749801139,13.889569258244546
102.30000000000001,3.0,10.08764361578367,14.003495776480982
102.4,3.0,10.011360409107578,13.92125594432143
102.5,3.0,9.935068994508184,14.015278765273393
102.60000000000001,3.0,9.877944445728764,13.82978796818143
102.7,3.0,9.780022479157527,13.875830998946217
102.80000000000001,3.0,9.714854408539331,13.797102937911523
102.9,3.0,9.63311130160845,13.719902381490336
103.0,3.0,9.573959490354003,13.84455398099199
103.10000000000001,3.0,9.504038544403864,13.641697902924786
103.2,3.0,9.439697954608338,13.604603820472661
103.30000000000001,3.0,9.377432472126586,13.705829549143719
103.4,3.0,9.306353678584383,13.695546482361852
103.5,3.0,9.212827655378996,13.605457997326145
103.60000000000001,3.0,9.178049134187043,13.60071263367844
103.7,3.0,9.088436745713661,13.59894802609085
103.80000000000001,3.0,9.01677370995472,13.598291840354763
103.9,3.0,8.942200348862201,13.530953118544616
104.0,3.0,8.89529963325745,13.33338332671322
104.10000000000001,3.0,8.82993437111674,13.576218810123878
104.2,3.0,8.738532977678744,13.503575139039166
104.30000000000001,3.0,8.666204683792257,13.371127365546615
104.4,3.0,8.629723776305575,13.456064855762943
104.5,3.0,8.558648257674854,13.410969979069524
104.60000000000001,3.0,8.474708411282027,13.317521357897103
104.7,3.0,8.414739722036709,13.186922029307869
104.80000000000001,3.0,8.354099971417849,13.013752987775954
104.9,3.0,8.293210680388729,13.150642608951253
105.0,3.0,8.213058677425643,13.134451574133282
105.10000000000001,3.0,8.135328614960734,13.080505992285145
105.2,3.0,8.116008927623279,13.165880375239848
105.30000000000001,3.0,8.032145050231467,13.053853248128798
105.4,3.0,7.97220461076542,12.964270124422933
105.5,3.0,7.911575365089607,13.074732192159184
105.60000000000001,3.0,7.869859898433779,12.943279276842528
105.7,3.0,7.787252901306743,12.87522737021975
105.80000000000001,3.0,7.727779844451717,12.87867651311756
105.9,3.0,7.676909358351109,12.937468863006691
106.0,3.0,7.610067900146614,13.007256139906413
106.10000000000001,3.0,7.54687244649771,12.946942556541241
106.2,3.0,7.48503279353782,12.819079840793652
106.30000000000001,3.0,7.442867225680877,12.57983372114381
106.4,3.0,7.388847731256692,12.634642212498882
106.5,3.0,7.330420244038656,12.664608218541723
106.60000000000001,3.0,7.279938562727679,12.66616639746092
106.7,3.0,7.213241685198729,12.628405984752485
106.80000000000001,3.0,7.150099995218119,12.566439629216436
106.9,3.0,7.097865293784375,12.591321658872625
107.0,3.0,7.040101498432132,12.514309641859105
107.10000000000001,3.0,6.980281658105172,12.591106556460852
107.2,3.0,6.938867176352938,12.504644695021312
107.30000000000001,3.0,6.885126980279245,12.549172720104089
107.4,3.0,6.836388311755613,12.326106905028109
107.5,3.0,6.789509507748084,12.2814976439898
107.60000000000001,3.0,6.724152393638505,12.111549931463008
107.7,3.0,6.671093866146755,12.057938253650278
107.80000000000001,3.0,6.622608682422439,12.162606719937243
107.9,3.0,6.566239180087772,12.067339236086678
108.0,3.0,6.506937820581418,11.936063546501554
108.10000000000001,3.0,6.475301099748652,11.868077542914623
108.2,3.0,6.425196854971648,12.024910536569466
108.30000000000001,3.0,6.368225289732967,11.977795794186102
108.4,3.0,6.3278699655512485,11.912350944198073
108.5,3.0,6.274523627066593,11.744240283228917
108.60000000000001,3.0,6.235516377155213,11.720066607134857
108.7,3.0,6.182671332620334,11.720662359955409
108.80000000000001,3.0,6.1342655345181685,11.64420422412989
108.9,3.0,6.097095470477669,11.769131899631944
109.0,3.0,6.035348641581958,11.575963441998308
109.10000000000001,3.0,5.983632632209939,11.552056750271474
109.2,3.0,5.94523163533542,11.51441194768587
109.30000000000001,3.0,5.892612031628317,11.509998336886449
109.4,3.0,5.853875024800049,11.556281889711032
109.5,3.0,5.801130472667932,11.496813187052844
109.60000000000001,3.0,5.771931961612523,11.589718705195015
109.7,3.0,5.741904305820563,11.538001854754171
109.80000000000001,3.0,5.682813447831347,11.384581037045024
109.9,3.0,5.651255003944653,11.22209553063686
110.0,3.0,5.601179867177747,11.247938415591856
110.10000000000001,3.0,5.563389044035782,11.10418898850981
110.2,3.0,5.539751216122441,11.127414099735573
110.30000000000001,3.0,5.47345151602653,10.92518147511854
110.4,3.0,5.429627438179308,10.849979393602657
110.5,3.0,5.394161129409488,10.889109513520111
110.60000000000001,3.0,5.333047857750113,10.89407545337761
110.7,3.0,5.300737360538839,11.010941592354758
110.80000000000001,3.0,5.279137442770577,10.862700172451806
110.9,3.0,5.22318051751379,10.817160181343421
111.0,3.0,5.192787455648203,10.723546040237798
111.10000000000001,3.0,5.152730636026076,10.669564833572894
111.2,3.0,5.118665217249509,10.745341010102017
111.30000000000001,3.0,5.067657838563753,10.773519085796265
111.4,3.0,5.019935393591415,10.783997365200154
111.5,3.0,5.00218935877758,10.854988523851596
111.60000000000001,3.0,4.957250494731234,10.613008393988336
111.7,3.0,4.9213696423496796,10.484685997109539
111.80000000000001,3.0,4.888857095813323,10.676592096040267
111.9,3.0,4.857597085118902,10.54667002384744
112.0,3.0,4.8172178825152,10.440847539446596
112.10000000000001,3.0,4.7926175416361865,10.33440175180131
112.2,3.0,4.754714799164848,10.361913609137984
112.30000000000001,3.0,4.71186543499586,10.218784804951635
112.4,3.0,4.6767615825687,10.155976069514251
112.5,3.0,4.644537970688753,9.998430631253628
112.60000000000001,3.0,4.622970362038674,10.054865403493386
112.7,3.0,4.586195369240405,9.903321936082557
112.80000000000001,3.0,4.543765369271453,10.096178023067955
112.9,3.0,4.50881746132069,10.014534007796208
113.0,3.0,4.476651838844026,9.763719864570804
113.10000000000001,3.0,4.4551057940926535,9.823811637823654
113.2,3.0,4.418338820030589,9.711967896261916
113.30000000000001,3.0,4.385496760909521,9.718302556240205
113.4,3.0,4.354114217897165,9.711073199436909
113.5,3.0,4.323274409518201,9.727554813914574
113.60000000000001,3.0,4.292636422058186,9.589909270384927
113.7,3.0,4.262073483583107,9.529139536397771
113.80000000000001,3.0,4.241123411777048,9.506541745869885
113.9,3.0,4.194993096788869,9.488553588375849
114.0,3.0,4.168254151304572,9.386014934722295
114.10000000000001,3.0,4.139141107835538,9.453319532181519
114.2,3.0,4.118730192966401,9.286648192317125
114.30000000000001,3.0,4.0919702865100405,9.253424782150214
114.4,3.0,4.0724344075149626,9.221900430206237
114.5,3.0,4.036414932276846,9.392292027989615
114.60000000000001,3.0,4.003850837542572,9.11059520344176
114.7,3.0,3.9725716581715385,9.283807431626197
114.80000000000001,3.0,3.9513552455297978,9.108594033784001
114.9,3.0,3.924295807238399,8.957174671871584
115.0,3.0,3.9046485445458687,8.929622851495859
115.10000000000001,3.0,3.878172609250659,8.87145265592273
115.2,3.0,3.8395724095592265,8.859406486926941
115.30000000000001,3.0,3.806048648445329,8.893266843023984
115.4,3.0,3.7935825262220706,8.944197967245994
115.5,3.0,3.769776964769705,8.771437999142638
115.60000000000001,3.0,3.751339686429379,8.793460229999926
115.7,3.0,3.7157287360578533,8.60995022114788
115.80000000000001,3.0,3.683316555093066,8.675899744446603
115.9,3.0,3.6712637842820404,8.671668810764976
116.0,3.0,3.638026972388747,8.679680457748944
116.10000000000001,3.0,3.6160825958945084,8.490960483034454
116.2,3.0,3.5791674984707735,8.535802714080315
116.30000000000001,3.0,3.575025235319484,8.619572427613694
116.4,3.0,3.544730019239359,8.487778671247979
116.5,3.0,3.5238795024947405,8.141636208530354
116.60000000000001,3.0,3.4969561259942314,8.185449177974537
116.7,3.0,3.4677745001372595,8.374270700081906
116.80000000000001,3.0,3.4473380822695927,8.2432015993216
116.9,3.0,3.4397386102987015,8.204047294728571
117.0,3.0,3.4081577989791265,8.227827238593472
117.10000000000001,3.0,3.386829221693205,8.035385892657574
117.2,3.0,3.3693130329424115,8.011749584175124
117.30000000000001,3.0,3.3436295573039265,8.213829301269572
117.4,3.0,3.3149090001092154,8.126030219594908
117.5,3.0,3.313813952922488,7.959191888763638
117.60000000000001,3.0,3.2846518724271747,8.079265725553752
117.7,3.0,3.2642227226839435,7.9609719949217
117.80000000000001,3.0,3.2278710764138503,7.801963863395217
117.9,3.0,3.214353378805875,7.829099842527323
